userId1,userId2,cleanlinessLevel_user1,cleanlinessLevel_user2,smokingPreference_user1,smokingPreference_user2,drinkingPreference_user1,drinkingPreference_user2,sleepingSchedule_user1,sleepingSchedule_user2,budgetRange_user1,budgetRange_user2,preferredLocation_user1,preferredLocation_user2,hobbies_user1,hobbies_user2,compatibility_score
149,7,5,2,no,no,yes,yes,irregular,night,11932,15888,BTM Layout,Indiranagar,"cooking,movies",reading,68
4,114,2,2,yes,yes,yes,yes,early,early,17212,5797,BTM Layout,Koramangala,"cooking,music","movies,reading",80
58,38,2,5,no,no,no,yes,night,early,11767,6159,Whitefield,BTM Layout,coding,"reading,travel",54
18,24,2,3,yes,no,no,no,early,night,14587,8943,HSR Layout,Koramangala,movies,"reading,coding",58
72,65,3,5,yes,yes,yes,no,irregular,night,14301,10479,Indiranagar,BTM Layout,reading,"coding,cricket,movies",60
68,130,2,3,no,yes,no,yes,night,night,11109,5929,Koramangala,Indiranagar,reading,"movies,coding",58
12,168,3,4,no,no,yes,no,early,night,11310,8472,Whitefield,HSR Layout,"coding,movies,cricket","coding,movies",68
41,48,1,4,no,no,yes,yes,night,early,11570,10171,BTM Layout,Whitefield,coding,"travel,movies",71
109,102,5,3,yes,no,no,no,night,irregular,15173,10103,HSR Layout,Koramangala,"reading,cricket,travel",travel,59
171,96,3,5,no,no,yes,yes,night,night,5465,12062,Koramangala,Indiranagar,reading,"cricket,travel,music",76
121,166,5,5,yes,yes,no,no,irregular,irregular,19452,7874,Whitefield,HSR Layout,movies,"cooking,coding,reading",80
179,105,1,5,yes,yes,yes,no,irregular,irregular,10035,14014,BTM Layout,HSR Layout,"cricket,music",cricket,69
37,57,3,2,yes,yes,yes,no,early,night,14352,9243,Whitefield,Indiranagar,"cricket,movies,music",reading,58
20,47,3,3,yes,yes,no,yes,night,night,12201,15576,Whitefield,BTM Layout,"cricket,cooking,coding","travel,cooking,reading",77
190,65,3,5,no,yes,no,no,night,night,9651,10479,Whitefield,BTM Layout,"cooking,music","coding,cricket,movies",73
2,107,5,2,no,no,yes,no,early,night,16878,14210,HSR Layout,Indiranagar,"movies,reading,cooking",cooking,61
123,27,4,5,yes,yes,no,yes,irregular,night,14698,19128,Whitefield,Whitefield,"music,reading,cooking","coding,cricket",72
16,110,1,3,no,no,yes,yes,night,night,12019,6803,HSR Layout,HSR Layout,travel,"cricket,coding",86
28,84,5,1,yes,no,no,no,irregular,night,19515,8282,Whitefield,Koramangala,"cricket,music","cricket,reading",55
9,124,1,1,yes,no,yes,no,early,early,9503,13594,Whitefield,BTM Layout,cricket,"music,travel,movies",64
99,54,5,2,yes,yes,no,no,early,night,17627,11503,HSR Layout,Whitefield,"coding,movies,music","movies,reading",67
8,84,2,1,yes,no,no,no,irregular,night,5872,8282,Koramangala,Koramangala,"coding,reading","cricket,reading",75
37,21,3,1,yes,no,yes,no,early,early,14352,14144,Whitefield,Indiranagar,"cricket,movies,music","reading,music",66
200,8,4,2,no,yes,no,no,irregular,irregular,12224,5872,Koramangala,Koramangala,"movies,music,coding","coding,reading",79
44,142,3,1,yes,yes,no,yes,irregular,early,9327,11161,Whitefield,Koramangala,"cricket,movies,travel","cooking,coding",63
98,139,2,4,no,yes,no,no,night,night,19736,10463,Koramangala,Whitefield,"cricket,reading","cricket,coding,reading",72
71,119,2,2,no,yes,no,yes,early,night,17782,14463,HSR Layout,BTM Layout,coding,coding,57
169,85,2,5,no,no,no,yes,early,irregular,15930,15898,BTM Layout,Koramangala,reading,music,61
104,134,5,3,yes,yes,yes,yes,early,early,19297,17919,Indiranagar,Indiranagar,"cooking,reading,coding","music,cricket,cooking",96
72,104,3,5,yes,yes,yes,yes,irregular,early,14301,19297,Indiranagar,Indiranagar,reading,"cooking,reading,coding",83
143,194,3,4,yes,yes,no,yes,early,irregular,7162,16207,Indiranagar,Koramangala,"cricket,movies","reading,travel",58
161,37,5,3,yes,yes,yes,yes,night,early,15538,14352,Whitefield,Whitefield,"coding,reading","cricket,movies,music",83
11,180,3,4,yes,no,no,no,irregular,early,13733,6876,HSR Layout,Indiranagar,cricket,music,58
27,60,5,3,yes,no,yes,yes,night,irregular,19128,13849,Whitefield,HSR Layout,"coding,cricket","travel,reading,music",56
119,155,2,2,yes,yes,yes,yes,night,irregular,14463,7735,BTM Layout,Koramangala,coding,"coding,reading,movies",73
38,197,5,2,no,no,yes,yes,early,early,6159,5414,BTM Layout,BTM Layout,"reading,travel","cricket,cooking",91
159,134,1,3,no,yes,yes,yes,irregular,early,10591,17919,HSR Layout,Indiranagar,"reading,cooking","music,cricket,cooking",59
36,38,1,5,no,no,no,yes,early,early,17464,6159,HSR Layout,BTM Layout,"travel,cooking","reading,travel",65
94,194,3,4,no,yes,yes,yes,early,irregular,19691,16207,Indiranagar,Koramangala,coding,"reading,travel",62
96,91,5,3,no,no,yes,yes,night,early,12062,18094,Indiranagar,Whitefield,"cricket,travel,music","reading,coding,cooking",66
71,148,2,3,no,no,no,yes,early,irregular,17782,5488,HSR Layout,Whitefield,coding,cricket,58
1,136,3,4,yes,yes,yes,no,early,irregular,11708,14683,Indiranagar,HSR Layout,coding,"cooking,reading",62
131,148,4,3,yes,no,yes,yes,early,irregular,9541,5488,BTM Layout,Whitefield,"travel,movies,coding",cricket,62
141,82,1,3,yes,no,yes,no,night,irregular,6335,7830,Koramangala,Whitefield,"music,cooking",cricket,53
6,128,3,5,no,no,yes,no,early,night,7317,13693,Koramangala,BTM Layout,"coding,cricket,reading",cricket,59
192,37,4,3,no,yes,yes,yes,irregular,early,19683,14352,HSR Layout,Whitefield,"travel,reading","cricket,movies,music",58
160,33,1,3,no,yes,yes,no,night,night,12018,10474,Indiranagar,Whitefield,cooking,"cooking,music,cricket",66
72,58,3,2,yes,no,yes,no,irregular,night,14301,11767,Indiranagar,Whitefield,reading,coding,52
92,74,5,1,yes,no,no,no,early,early,7486,7844,BTM Layout,Whitefield,"movies,travel,coding",cooking,69
184,151,3,3,no,yes,yes,no,night,irregular,12043,10233,Indiranagar,Indiranagar,"cricket,coding",music,67
40,116,5,3,no,yes,no,no,night,night,6344,16300,Whitefield,Koramangala,"movies,reading,coding","reading,cooking,music",69
141,74,1,1,yes,no,yes,no,night,early,6335,7844,Koramangala,Whitefield,"music,cooking",cooking,60
120,81,2,4,no,no,no,yes,early,night,11832,8441,Koramangala,Koramangala,"coding,movies,cricket","coding,reading",73
76,116,4,3,no,yes,no,no,night,night,16884,16300,BTM Layout,Koramangala,reading,"reading,cooking,music",78
84,13,1,3,no,no,no,no,night,early,8282,6202,Koramangala,Koramangala,"cricket,reading",music,80
83,100,3,3,no,yes,yes,no,irregular,night,7702,16137,HSR Layout,Indiranagar,"cricket,music","travel,cooking,reading",50
83,10,3,1,no,yes,yes,no,irregular,irregular,7702,12532,HSR Layout,Koramangala,"cricket,music",travel,60
69,138,4,5,yes,no,yes,yes,irregular,early,6733,7103,Whitefield,Whitefield,"reading,movies",reading,78
82,157,3,4,no,yes,no,yes,irregular,irregular,7830,18966,Whitefield,HSR Layout,cricket,"travel,cooking,coding",58
148,73,3,3,no,yes,yes,no,irregular,early,5488,8814,Whitefield,Indiranagar,cricket,"coding,reading",54
9,194,1,4,yes,yes,yes,yes,early,irregular,9503,16207,Whitefield,Koramangala,cricket,"reading,travel",64
93,170,3,2,yes,yes,no,yes,early,night,9512,17336,BTM Layout,Indiranagar,"cooking,reading","cricket,music,coding",58
111,63,3,1,yes,yes,no,yes,night,night,5505,19926,HSR Layout,BTM Layout,cricket,"cricket,travel",69
24,60,3,3,no,no,no,yes,night,irregular,8943,13849,Koramangala,HSR Layout,"reading,coding","travel,reading,music",67
175,89,3,4,yes,yes,yes,no,night,night,19604,6737,Indiranagar,BTM Layout,"coding,cricket,reading","cooking,coding",71
59,56,5,3,yes,yes,yes,yes,night,irregular,5212,5250,HSR Layout,BTM Layout,cricket,"cooking,travel",73
142,21,1,1,yes,no,yes,no,early,early,11161,14144,Koramangala,Indiranagar,"cooking,coding","reading,music",64
53,7,5,2,no,no,yes,yes,early,night,8897,15888,Indiranagar,Indiranagar,"coding,cricket",reading,74
157,43,4,4,yes,no,yes,no,irregular,night,18966,17477,HSR Layout,HSR Layout,"travel,cooking,coding","reading,coding",70
74,151,1,3,no,yes,no,no,early,irregular,7844,10233,Whitefield,Indiranagar,cooking,music,60
117,69,3,4,yes,yes,yes,yes,irregular,irregular,9738,6733,Indiranagar,Whitefield,"cricket,movies,coding","reading,movies",85
42,6,5,3,yes,no,yes,yes,irregular,early,11088,7317,BTM Layout,Koramangala,music,"coding,cricket,reading",60
148,18,3,2,no,yes,yes,no,irregular,early,5488,14587,Whitefield,HSR Layout,cricket,movies,48
172,140,5,4,yes,yes,yes,yes,night,night,9985,12972,BTM Layout,Whitefield,cooking,"movies,cricket",82
64,59,4,5,no,yes,yes,yes,early,night,5317,5212,BTM Layout,HSR Layout,"movies,cooking,cricket",cricket,68
122,151,4,3,no,yes,yes,no,irregular,irregular,12411,10233,Koramangala,Indiranagar,"coding,music",music,65
117,104,3,5,yes,yes,yes,yes,irregular,early,9738,19297,Indiranagar,Indiranagar,"cricket,movies,coding","cooking,reading,coding",79
99,151,5,3,yes,yes,no,no,early,irregular,17627,10233,HSR Layout,Indiranagar,"coding,movies,music",music,69
174,124,1,1,yes,no,yes,no,irregular,early,16735,13594,Indiranagar,BTM Layout,cricket,"music,travel,movies",54
118,86,2,4,no,no,no,yes,early,irregular,16454,14241,Whitefield,Koramangala,"movies,reading,cricket","music,travel,reading",63
20,68,3,2,yes,no,no,no,night,night,12201,11109,Whitefield,Koramangala,"cricket,cooking,coding",reading,75
69,32,4,5,yes,yes,yes,yes,irregular,early,6733,12160,Whitefield,HSR Layout,"reading,movies","reading,cooking",71
98,192,2,4,no,no,no,yes,night,irregular,19736,19683,Koramangala,HSR Layout,"cricket,reading","travel,reading",66
66,146,5,2,no,yes,yes,yes,irregular,night,10049,15718,Whitefield,Koramangala,"movies,music,cricket","music,reading,travel",57
83,58,3,2,no,no,yes,no,irregular,night,7702,11767,HSR Layout,Whitefield,"cricket,music",coding,62
35,193,5,2,yes,no,no,yes,night,early,18341,6029,Koramangala,Koramangala,"movies,music,reading","cricket,reading,coding",57
57,68,2,2,yes,no,no,no,night,night,9243,11109,Indiranagar,Koramangala,reading,reading,80
26,87,2,3,yes,no,no,yes,night,irregular,13921,6938,Koramangala,Indiranagar,"music,reading","travel,music,cooking",51
101,120,5,2,yes,no,yes,no,night,early,19388,11832,Whitefield,Koramangala,cricket,"coding,movies,cricket",47
168,140,4,4,no,yes,no,yes,night,night,8472,12972,HSR Layout,Whitefield,"coding,movies","movies,cricket",67
157,135,4,2,yes,yes,yes,no,irregular,early,18966,9913,HSR Layout,Whitefield,"travel,cooking,coding","reading,cooking",59
156,74,1,1,no,no,no,no,early,early,7127,7844,Koramangala,Whitefield,"music,coding,reading",cooking,87
108,147,2,1,yes,no,no,no,night,irregular,17635,13129,BTM Layout,Whitefield,"music,movies",cricket,62
134,172,3,5,yes,yes,yes,yes,early,night,17919,9985,Indiranagar,BTM Layout,"music,cricket,cooking",cooking,69
73,112,3,3,yes,no,no,yes,early,early,8814,17700,Indiranagar,HSR Layout,"coding,reading","cricket,movies",60
130,66,3,5,yes,no,yes,yes,night,irregular,5929,10049,Indiranagar,Whitefield,"movies,coding","movies,music,cricket",63
25,5,5,1,yes,no,yes,no,night,early,13052,16150,BTM Layout,HSR Layout,cooking,reading,46
24,85,3,5,no,no,no,yes,night,irregular,8943,15898,Koramangala,Koramangala,"reading,coding",music,66
33,48,3,4,yes,no,no,yes,night,early,10474,10171,Whitefield,Whitefield,"cooking,music,cricket","travel,movies",65
188,130,1,3,no,yes,yes,yes,early,night,8483,5929,Koramangala,Indiranagar,"movies,travel","movies,coding",63
197,17,2,2,no,yes,yes,no,early,night,5414,10434,BTM Layout,Whitefield,"cricket,cooking",music,50
83,181,3,3,no,no,yes,yes,irregular,early,7702,14117,HSR Layout,Indiranagar,"cricket,music",travel,70
128,187,5,5,no,no,no,yes,night,night,13693,18590,BTM Layout,BTM Layout,cricket,"music,movies,coding",84
24,121,3,5,no,yes,no,no,night,irregular,8943,19452,Koramangala,Whitefield,"reading,coding",movies,56
184,178,3,1,no,yes,yes,yes,night,night,12043,6054,Indiranagar,Koramangala,"cricket,coding",coding,69
112,72,3,3,no,yes,yes,yes,early,irregular,17700,14301,HSR Layout,Indiranagar,"cricket,movies",reading,64
5,158,1,1,no,yes,no,no,early,early,16150,17308,HSR Layout,Whitefield,reading,coding,77
12,130,3,3,no,yes,yes,yes,early,night,11310,5929,Whitefield,Indiranagar,"coding,movies,cricket","movies,coding",66
150,94,4,3,no,no,yes,yes,irregular,early,8254,19691,HSR Layout,Indiranagar,"cricket,travel,coding",coding,71
189,18,2,2,yes,yes,yes,no,night,early,15819,14587,Whitefield,HSR Layout,movies,movies,70
104,10,5,1,yes,yes,yes,no,early,irregular,19297,12532,Indiranagar,Koramangala,"cooking,reading,coding",travel,52
189,19,2,4,yes,yes,yes,no,night,early,15819,16537,Whitefield,HSR Layout,movies,travel,63
82,163,3,4,no,no,no,no,irregular,night,7830,17524,Whitefield,Whitefield,cricket,"cricket,music",81
129,95,3,2,no,no,yes,no,night,irregular,9851,16076,Indiranagar,Whitefield,travel,cooking,58
163,132,4,2,no,no,no,no,night,irregular,17524,18026,Whitefield,Koramangala,"cricket,music","movies,cooking",73
163,84,4,1,no,no,no,no,night,night,17524,8282,Whitefield,Koramangala,"cricket,music","cricket,reading",77
26,87,2,3,yes,no,no,yes,night,irregular,13921,6938,Koramangala,Indiranagar,"music,reading","travel,music,cooking",51
123,8,4,2,yes,yes,no,no,irregular,irregular,14698,5872,Whitefield,Koramangala,"music,reading,cooking","coding,reading",79
84,19,1,4,no,yes,no,no,night,early,8282,16537,Koramangala,HSR Layout,"cricket,reading",travel,54
43,174,4,1,no,yes,no,yes,night,irregular,17477,16735,HSR Layout,Indiranagar,"reading,coding",cricket,51
115,181,3,3,no,no,yes,yes,early,early,18331,14117,BTM Layout,Indiranagar,"cricket,cooking",travel,84
149,193,5,2,no,no,yes,yes,irregular,early,11932,6029,BTM Layout,Koramangala,"cooking,movies","cricket,reading,coding",64
89,31,4,5,yes,no,no,no,night,night,6737,7003,BTM Layout,Indiranagar,"cooking,coding","cooking,movies",78
96,36,5,1,no,no,yes,no,night,early,12062,17464,Indiranagar,HSR Layout,"cricket,travel,music","travel,cooking",55
181,159,3,1,no,no,yes,yes,early,irregular,14117,10591,Indiranagar,HSR Layout,travel,"reading,cooking",70
115,183,3,4,no,yes,yes,no,early,night,18331,15961,BTM Layout,HSR Layout,"cricket,cooking","cricket,coding,reading",55
51,190,4,3,no,no,yes,no,night,night,14723,9651,Koramangala,Whitefield,"music,reading","cooking,music",71
83,170,3,2,no,yes,yes,yes,irregular,night,7702,17336,HSR Layout,Indiranagar,"cricket,music","cricket,music,coding",64
195,171,4,3,no,no,no,yes,early,night,11914,5465,BTM Layout,Koramangala,"cricket,coding,movies",reading,58
47,172,3,5,yes,yes,yes,yes,night,night,15576,9985,BTM Layout,BTM Layout,"travel,cooking,reading",cooking,89
18,55,2,3,yes,yes,no,yes,early,night,14587,7868,HSR Layout,Indiranagar,movies,reading,58
26,171,2,3,yes,no,no,yes,night,night,13921,5465,Koramangala,Koramangala,"music,reading",reading,71
84,54,1,2,no,yes,no,no,night,night,8282,11503,Koramangala,Whitefield,"cricket,reading","movies,reading",75
83,167,3,1,no,no,yes,no,irregular,night,7702,7610,HSR Layout,Koramangala,"cricket,music",movies,63
4,48,2,4,yes,no,yes,yes,early,early,17212,10171,BTM Layout,Whitefield,"cooking,music","travel,movies",66
146,57,2,2,yes,yes,yes,no,night,night,15718,9243,Koramangala,Indiranagar,"music,reading,travel",reading,73
122,81,4,4,no,no,yes,yes,irregular,night,12411,8441,Koramangala,Koramangala,"coding,music","coding,reading",87
146,180,2,4,yes,no,yes,no,night,early,15718,6876,Koramangala,Indiranagar,"music,reading,travel",music,49
186,113,3,5,yes,no,no,no,irregular,night,14874,11230,HSR Layout,Koramangala,"coding,cricket,reading","reading,travel,cricket",66
62,182,4,4,yes,no,yes,no,irregular,night,14807,17634,Whitefield,Koramangala,"movies,cooking,cricket",travel,54
31,107,5,2,no,no,no,no,night,night,7003,14210,Indiranagar,Indiranagar,"cooking,movies",cooking,87
48,171,4,3,no,no,yes,yes,early,night,10171,5465,Whitefield,Koramangala,"travel,movies",reading,72
111,85,3,5,yes,no,no,yes,night,irregular,5505,15898,HSR Layout,Koramangala,cricket,music,46
116,78,3,1,yes,no,no,no,night,night,16300,8555,Koramangala,Koramangala,"reading,cooking,music",music,79
15,111,2,3,yes,yes,yes,no,early,night,12844,5505,Whitefield,HSR Layout,"travel,cricket,coding",cricket,61
163,47,4,3,no,yes,no,yes,night,night,17524,15576,Whitefield,BTM Layout,"cricket,music","travel,cooking,reading",65
172,75,5,3,yes,yes,yes,no,night,irregular,9985,17562,BTM Layout,BTM Layout,cooking,"reading,coding",66
176,17,1,2,yes,yes,yes,no,night,night,15034,10434,Indiranagar,Whitefield,"coding,movies",music,72
156,197,1,2,no,no,no,yes,early,early,7127,5414,Koramangala,BTM Layout,"music,coding,reading","cricket,cooking",75
36,56,1,3,no,yes,no,yes,early,irregular,17464,5250,HSR Layout,BTM Layout,"travel,cooking","cooking,travel",52
84,106,1,3,no,no,no,yes,night,night,8282,17990,Koramangala,HSR Layout,"cricket,reading",coding,66
11,16,3,1,yes,no,no,yes,irregular,night,13733,12019,HSR Layout,HSR Layout,cricket,travel,63
74,92,1,5,no,yes,no,no,early,early,7844,7486,Whitefield,BTM Layout,cooking,"movies,travel,coding",69
30,88,1,3,yes,no,no,yes,night,irregular,15517,16544,Indiranagar,Koramangala,reading,"movies,coding",53
87,51,3,4,no,no,yes,yes,irregular,night,6938,14723,Indiranagar,Koramangala,"travel,music,cooking","music,reading",71
53,16,5,1,no,no,yes,yes,early,night,8897,12019,Indiranagar,HSR Layout,"coding,cricket",travel,66
113,29,5,2,no,no,no,yes,night,irregular,11230,12417,Koramangala,HSR Layout,"reading,travel,cricket",movies,61
50,61,1,4,no,yes,yes,yes,irregular,irregular,9751,16727,Indiranagar,HSR Layout,coding,"music,travel,coding",67
72,80,3,4,yes,yes,yes,yes,irregular,night,14301,17935,Indiranagar,Koramangala,reading,"reading,cooking,cricket",75
177,190,3,3,no,no,no,no,irregular,night,13866,9651,BTM Layout,Whitefield,"movies,cooking,music","cooking,music",80
11,90,3,5,yes,yes,no,yes,irregular,early,13733,14084,HSR Layout,Whitefield,cricket,"cricket,reading",66
11,148,3,3,yes,no,no,yes,irregular,irregular,13733,5488,HSR Layout,Whitefield,cricket,cricket,63
108,158,2,1,yes,yes,no,no,night,early,17635,17308,BTM Layout,Whitefield,"music,movies",coding,75
84,92,1,5,no,yes,no,no,night,early,8282,7486,Koramangala,BTM Layout,"cricket,reading","movies,travel,coding",59
164,188,4,1,yes,no,no,yes,irregular,early,17462,8483,Indiranagar,Koramangala,"movies,coding,cricket","movies,travel",47
137,126,4,2,no,no,no,no,early,early,15589,14961,BTM Layout,Koramangala,cricket,"cricket,movies",86
145,7,1,2,no,no,yes,yes,early,night,19021,15888,HSR Layout,Indiranagar,reading,reading,75
125,124,5,1,yes,no,yes,no,irregular,early,10869,13594,Whitefield,BTM Layout,travel,"music,travel,movies",49
13,81,3,4,no,no,no,yes,early,night,6202,8441,Koramangala,Koramangala,music,"coding,reading",72
142,19,1,4,yes,yes,yes,no,early,early,11161,16537,Koramangala,HSR Layout,"cooking,coding",travel,64
46,85,5,5,yes,no,yes,yes,early,irregular,18404,15898,Indiranagar,Koramangala,"travel,coding",music,64
57,99,2,5,yes,yes,no,no,night,early,9243,17627,Indiranagar,HSR Layout,reading,"coding,movies,music",64
27,31,5,5,yes,no,yes,no,night,night,19128,7003,Whitefield,Indiranagar,"coding,cricket","cooking,movies",60
88,191,3,5,no,yes,yes,yes,irregular,night,16544,11105,Koramangala,Indiranagar,"movies,coding",travel,56
125,118,5,2,yes,no,yes,no,irregular,early,10869,16454,Whitefield,Whitefield,travel,"movies,reading,cricket",54
12,172,3,5,no,yes,yes,yes,early,night,11310,9985,Whitefield,BTM Layout,"coding,movies,cricket",cooking,63
28,195,5,4,yes,no,no,no,irregular,early,19515,11914,Whitefield,BTM Layout,"cricket,music","cricket,coding,movies",61
76,34,4,3,no,yes,no,yes,night,early,16884,8679,BTM Layout,HSR Layout,reading,"reading,movies",51
105,62,5,4,yes,yes,no,yes,irregular,irregular,14014,14807,HSR Layout,Whitefield,cricket,"movies,cooking,cricket",78
139,92,4,5,yes,yes,no,no,night,early,10463,7486,Whitefield,BTM Layout,"cricket,coding,reading","movies,travel,coding",75
96,73,5,3,no,yes,yes,no,night,early,12062,8814,Indiranagar,Indiranagar,"cricket,travel,music","coding,reading",60
198,160,2,1,yes,no,yes,yes,irregular,night,16497,12018,Koramangala,Indiranagar,"movies,cooking",cooking,65
22,72,4,3,no,yes,no,yes,night,irregular,5483,14301,Whitefield,Indiranagar,"movies,coding,cricket",reading,48
186,100,3,3,yes,yes,no,no,irregular,night,14874,16137,HSR Layout,Indiranagar,"coding,cricket,reading","travel,cooking,reading",80
142,93,1,3,yes,yes,yes,no,early,early,11161,9512,Koramangala,BTM Layout,"cooking,coding","cooking,reading",76
126,56,2,3,no,yes,no,yes,early,irregular,14961,5250,Koramangala,BTM Layout,"cricket,movies","cooking,travel",48
9,65,1,5,yes,yes,yes,no,early,night,9503,10479,Whitefield,BTM Layout,cricket,"coding,cricket,movies",62
147,114,1,2,no,yes,no,yes,irregular,early,13129,5797,Whitefield,Koramangala,cricket,"movies,reading",48
36,64,1,4,no,no,no,yes,early,early,17464,5317,HSR Layout,BTM Layout,"travel,cooking","movies,cooking,cricket",67
197,111,2,3,no,yes,yes,no,early,night,5414,5505,BTM Layout,HSR Layout,"cricket,cooking",cricket,58
114,119,2,2,yes,yes,yes,yes,early,night,5797,14463,Koramangala,BTM Layout,"movies,reading",coding,70
107,147,2,1,no,no,no,no,night,irregular,14210,13129,Indiranagar,Whitefield,cooking,cricket,75
105,41,5,1,yes,no,no,yes,irregular,night,14014,11570,HSR Layout,BTM Layout,cricket,coding,46
177,195,3,4,no,no,no,no,irregular,early,13866,11914,BTM Layout,BTM Layout,"movies,cooking,music","cricket,coding,movies",88
35,174,5,1,yes,yes,no,yes,night,irregular,18341,16735,Koramangala,Indiranagar,"movies,music,reading",cricket,59
46,181,5,3,yes,no,yes,yes,early,early,18404,14117,Indiranagar,Indiranagar,"travel,coding",travel,83
12,78,3,1,no,no,yes,no,early,night,11310,8555,Whitefield,Koramangala,"coding,movies,cricket",music,60
57,20,2,3,yes,yes,no,no,night,night,9243,12201,Indiranagar,Whitefield,reading,"cricket,cooking,coding",82
58,117,2,3,no,yes,no,yes,night,irregular,11767,9738,Whitefield,Indiranagar,coding,"cricket,movies,coding",55
95,161,2,5,no,yes,no,yes,irregular,night,16076,15538,Whitefield,Whitefield,cooking,"coding,reading",61
78,159,1,1,no,no,no,yes,night,irregular,8555,10591,Koramangala,HSR Layout,music,"reading,cooking",64
187,132,5,2,no,no,yes,no,night,irregular,18590,18026,BTM Layout,Koramangala,"music,movies,coding","movies,cooking",64
98,97,2,2,no,no,no,no,night,irregular,19736,8987,Koramangala,BTM Layout,"cricket,reading","music,coding",70
